symbol,train_start,train_end,test_start,test_end,param_id,score,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,train_ending_equity,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,train_num_trades,train_avg_return_per_trade,train_win_rate,train_profit_factor,train_expectancy_dollars
SMH,2021-04-19,2022-04-14,2022-04-18,2022-07-18,3,0.9074717434476253,20,50,SMA,14,1.0,3.0,5,0.9,103319.45655158865,0.03319456551588651,0.03319456551588651,0.015130799069397556,0.8720336219765729,-0.004636645147563345,2,0.027677086443961163,1.0,,1672.6596655465255
SMH,2021-07-19,2022-07-18,2022-07-19,2022-10-14,3,0.7250949558631034,20,50,SMA,14,1.0,3.0,5,0.9,102951.67575908356,0.029516757590835718,0.029516757590835718,0.013588834144123178,0.7003365770676855,0.0,1,0.04743283445426608,1.0,,2966.4939466323835
SMH,2021-10-15,2022-10-14,2022-10-17,2023-01-17,8,-2.8420787352942782,20,50,EMA,14,1.0,2.0,5,0.75,97956.68041775534,-0.020433195822446626,-0.020433195822446626,0.014207947811062294,-2.84581533942329,-0.024187191839059485,2,-0.025372329124965627,0.0,0.0,-1011.996111021313
SMH,2022-01-14,2023-01-17,2023-01-18,2023-04-18,0,0.0048504256491901515,20,50,SMA,14,1.0,2.0,5,0.75,101872.2425336598,0.018722425336597848,0.018722425336597848,0.03197574870484335,-0.039954487858751504,-0.018225196641429076,4,0.01695749269277318,0.5,1.925500392347068,475.62585589572376
SMH,2022-04-18,2023-04-18,2023-04-19,2023-07-19,3,0.4277959421636883,20,50,SMA,14,1.0,3.0,5,0.9,103503.86401895228,0.03503864018952285,0.03503864018952285,0.040120916114312594,0.3748329212292842,-0.018225196641429076,4,0.025834260199500886,0.5,2.7267360678836874,883.9733457521704
SMH,2022-07-19,2023-07-19,2023-07-20,2023-10-17,7,1.1033268908472582,20,50,SMA,14,1.5,3.0,5,0.9,105255.29339675924,0.05255293396759231,0.05255293396759231,0.031900691849304316,1.020446017953752,-0.013582376361159998,6,0.03597201611970612,0.6666666666666666,9.593250460622409,882.1558280840914
SMH,2022-10-17,2023-10-17,2023-10-18,2024-01-18,19,0.22206975910161292,55,50,SMA,14,1.0,3.0,5,0.9,102617.1848913498,0.026171848913497886,0.026171848913497886,0.03737244721871802,0.16514436096137453,-0.024642105266042158,5,0.014867725558283784,0.4,1.902336764099771,534.1234596588117
SMH,2023-01-18,2024-01-18,2024-01-19,2024-04-18,2,0.30652663966854427,20,50,SMA,14,1.0,3.0,5,0.75,102924.16162699614,0.029241616269961357,0.029241616269961357,0.043884671588299486,0.21058870752550768,-0.034731503967776356,9,0.006185111295640769,0.3333333333333333,1.6561992124928184,335.7503237854353
SMH,2023-04-19,2024-04-18,2024-04-19,2024-07-19,14,0.6810267332531629,20,50,EMA,14,1.5,3.0,5,0.75,104118.37145987213,0.04118371459872128,0.04118371459872128,0.03730281572890602,0.5678851364109219,-0.029801041828478536,12,0.010904862774500179,0.5,2.0717719413406477,350.3772438117703
SMH,2023-07-20,2024-07-19,2024-07-22,2024-10-17,20,1.2217670606368793,55,50,SMA,14,1.5,2.0,5,0.75,105330.62340693649,0.053306234069364855,0.053306234069364855,0.030287867288763672,1.0996559695611499,-0.018168103835812244,11,0.015319185022433512,0.6363636363636364,3.274733350214306,491.87694520567896
SMH,2023-10-18,2024-10-17,2024-10-18,2025-01-21,20,0.8906065680527533,55,50,SMA,14,1.5,2.0,5,0.75,104244.31900829817,0.04244319008298181,0.04244319008298181,0.028629008036771167,0.7839318097978009,-0.018187347146153887,9,0.015473147934162637,0.6666666666666666,3.0428090982576768,478.65265364622144
SMH,2024-01-19,2025-01-21,2025-01-22,2025-04-22,16,0.22111641088703599,55,50,SMA,14,1.0,2.0,5,0.75,102490.46111620833,0.0249046111620832,0.0249046111620832,0.02815349894678185,0.17420964873155964,-0.022182173702261054,4,0.012225722111985245,0.75,3.41205188905764,632.929023143114
SMH,2024-04-19,2025-04-22,2025-04-23,2025-07-23,8,-1.4609570240405896,20,50,EMA,14,1.0,2.0,5,0.75,97463.86298630523,-0.025361370136947614,-0.025361370136947614,0.030336146464316097,-1.4952911105669087,-0.05194091362082898,6,-0.01032834276354657,0.3333333333333333,0.38928099775709907,-413.34514355646917
SMH,2024-07-22,2025-07-23,2025-07-24,2025-10-21,2,-0.08165721009844439,20,50,SMA,14,1.0,3.0,5,0.75,101410.93140041655,0.014109314004165485,0.014109314004165485,0.03666112575270347,-0.16067935380844445,-0.03213005316833073,8,0.0065570271817722665,0.5,1.3671674736121444,186.308383852958
SMH,2024-10-18,2025-10-21,2025-10-22,2026-01-22,3,1.068217771544034,20,50,SMA,14,1.0,3.0,5,0.9,106568.02864189804,0.0656802864189805,0.0656802864189805,0.04854879862491681,0.9409148673667878,-0.02214895612897594,10,0.014672159476143243,0.7,3.168002543947899,667.6619358279851
