timestamp,open,high,low,close,volume,symbol,date
2024-04-18,410.79,411.89,403.95,404.27,8900440,MSFT,2024-04-18
2024-04-19,404.11,405.48,397.77,399.12,11562154,MSFT,2024-04-19
2024-04-22,400.08,402.85,395.75,400.96,8818346,MSFT,2024-04-22
2024-04-23,404.23,408.2,403.06,407.57,6525712,MSFT,2024-04-23
2024-04-24,409.56,412.47,406.78,409.06,6215899,MSFT,2024-04-24
2024-04-25,394.22,399.89,388.03,399.04,20948288,MSFT,2024-04-25
2024-04-26,412.1,413.0,405.76,406.32,16912409,MSFT,2024-04-26
2024-04-29,405.25,406.32,399.19,402.25,10325498,MSFT,2024-04-29
2024-04-30,401.49,402.16,389.17,389.33,12975345,MSFT,2024-04-30
2024-05-01,392.61,401.72,390.31,394.94,11796399,MSFT,2024-05-01
2024-05-02,397.56,399.93,394.65,397.84,7449633,MSFT,2024-05-02
2024-05-03,402.56,407.15,401.86,406.66,8205760,MSFT,2024-05-03
2024-05-06,408.7,413.93,406.37,413.54,7015107,MSFT,2024-05-06
2024-05-07,414.94,414.94,409.09,409.34,7701418,MSFT,2024-05-07
2024-05-08,408.17,412.23,406.71,410.54,5108226,MSFT,2024-05-08
2024-05-09,410.35,412.72,409.1,412.32,5182874,MSFT,2024-05-09
2024-05-10,413.06,415.38,411.8,414.74,5294517,MSFT,2024-05-10
2024-05-13,418.01,418.35,410.82,413.72,6362841,MSFT,2024-05-13
2024-05-14,411.9,417.49,411.55,416.56,6295891,MSFT,2024-05-14
2024-05-15,417.9,423.81,417.27,423.08,8034897,MSFT,2024-05-15
2024-05-16,421.8,425.42,420.35,420.99,7190656,MSFT,2024-05-16
2024-05-17,422.55,422.92,418.02,420.21,6356231,MSFT,2024-05-17
2024-05-20,420.36,426.77,419.99,425.34,6659594,MSFT,2024-05-20
2024-05-21,426.99,432.97,424.85,429.04,10434937,MSFT,2024-05-21
2024-05-22,430.09,432.41,427.13,430.52,7006793,MSFT,2024-05-22
2024-05-23,432.96,433.6,425.42,427.0,7257089,MSFT,2024-05-23
2024-05-24,427.23,431.06,424.41,430.16,5283495,MSFT,2024-05-24
2024-05-28,429.82,430.82,426.6,430.32,7142585,MSFT,2024-05-28
2024-05-29,425.89,430.94,425.69,429.17,6776152,MSFT,2024-05-29
2024-05-30,424.24,424.3,414.24,414.67,15029082,MSFT,2024-05-30
2024-05-31,416.75,416.75,404.73,415.13,18501324,MSFT,2024-05-31
2024-06-03,415.52,416.43,408.92,413.52,8724883,MSFT,2024-06-03
2024-06-04,412.18,416.44,409.67,416.07,6149422,MSFT,2024-06-04
2024-06-05,417.87,424.08,416.3,424.01,7794783,MSFT,2024-06-05
2024-06-06,424.02,425.31,420.58,424.52,5826146,MSFT,2024-06-06
2024-06-07,426.2,426.28,423.0,423.85,5556471,MSFT,2024-06-07
2024-06-10,424.66,428.08,423.89,427.87,5903613,MSFT,2024-06-10
2024-06-11,425.44,432.82,425.25,432.68,6345950,MSFT,2024-06-11
2024-06-12,435.2,443.4,433.25,441.06,10862697,MSFT,2024-06-12
2024-06-13,441.02,443.39,439.37,441.58,7259181,MSFT,2024-06-13
2024-06-14,438.05,443.14,436.72,442.57,6102043,MSFT,2024-06-14
2024-06-17,442.59,450.94,440.72,448.37,9583922,MSFT,2024-06-17
2024-06-18,449.72,450.14,444.89,446.34,7503235,MSFT,2024-06-18
2024-06-20,446.3,446.53,441.27,445.7,9637053,MSFT,2024-06-20
2024-06-21,447.38,450.58,446.51,449.78,13437024,MSFT,2024-06-21
2024-06-24,450.13,452.75,446.41,447.67,6943030,MSFT,2024-06-24
2024-06-25,448.06,451.42,446.75,450.95,5676014,MSFT,2024-06-25
2024-06-26,448.75,453.6,448.19,452.16,5861658,MSFT,2024-06-26
2024-06-27,452.02,456.17,451.77,452.85,6686020,MSFT,2024-06-27
2024-06-28,453.1,455.38,446.41,446.95,10256572,MSFT,2024-06-28
