timestamp,open,high,low,close,volume,symbol,date
2024-04-18,128.8,129.27,125.55,125.9,9173260,AVGO,2024-04-18
2024-04-19,125.9,126.0,119.76,120.47,19528960,AVGO,2024-04-19
2024-04-22,122.45,123.32,120.05,122.45,8523580,AVGO,2024-04-22
2024-04-23,122.82,125.79,122.8,124.92,6814300,AVGO,2024-04-23
2024-04-24,126.69,128.56,124.5,125.68,6958100,AVGO,2024-04-24
2024-04-25,127.36,130.8,125.7,129.44,11415960,AVGO,2024-04-25
2024-04-26,131.0,135.58,130.31,134.41,8289450,AVGO,2024-04-26
2024-04-29,134.3,135.3,132.57,133.86,3829100,AVGO,2024-04-29
2024-04-30,132.89,134.83,129.91,130.03,7118900,AVGO,2024-04-30
2024-05-01,128.0,129.24,124.13,124.29,13401160,AVGO,2024-05-01
2024-05-02,125.77,126.45,122.33,123.86,13295210,AVGO,2024-05-02
2024-05-03,125.9,128.39,124.71,127.81,9378890,AVGO,2024-05-03
2024-05-06,128.59,131.08,127.51,131.03,4423210,AVGO,2024-05-06
2024-05-07,131.88,131.9,129.68,130.31,3973610,AVGO,2024-05-07
2024-05-08,129.35,133.79,128.85,132.54,4528750,AVGO,2024-05-08
2024-05-09,131.78,132.16,130.2,130.57,3081530,AVGO,2024-05-09
2024-05-10,131.71,134.4,131.53,133.28,5530300,AVGO,2024-05-10
2024-05-13,134.6,135.84,133.01,133.75,6553150,AVGO,2024-05-13
2024-05-14,133.23,138.2,132.58,138.0,6604740,AVGO,2024-05-14
2024-05-15,138.07,143.9,137.0,143.62,12092060,AVGO,2024-05-15
2024-05-16,142.66,144.54,140.51,141.21,8625360,AVGO,2024-05-16
2024-05-17,141.42,141.95,138.18,139.53,6943910,AVGO,2024-05-17
2024-05-20,139.6,141.69,139.32,141.4,10724070,AVGO,2024-05-20
2024-05-21,139.6,140.94,139.35,139.92,5428380,AVGO,2024-05-21
2024-05-22,139.6,140.5,138.42,139.22,5719660,AVGO,2024-05-22
