timestamp,open,high,low,close,adj_close,volume,symbol
2021-04-19,340.3900146484375,341.5799865722656,336.8999938964844,338.8800048828125,328.859375,34533100,QQQ
2021-04-20,338.20001220703125,339.5199890136719,334.3800048828125,336.4100036621094,326.46240234375,38081800,QQQ
2021-04-21,335.0899963378906,339.4800109863281,333.9700012207031,339.2900085449219,329.2572326660156,36598100,QQQ
2021-04-22,338.8900146484375,339.8999938964844,334.010009765625,335.20001220703125,325.2882080078125,45936100,QQQ
2021-04-23,335.8500061035156,340.7699890136719,335.8500061035156,339.4200134277344,329.3834228515625,36381900,QQQ
2021-04-26,339.6700134277344,341.9200134277344,338.8999938964844,341.6300048828125,331.528076171875,30812000,QQQ
2021-04-27,341.92999267578125,342.1499938964844,339.1700134277344,340.1499938964844,330.091796875,33187200,QQQ
2021-04-28,339.80999755859375,340.8500061035156,338.3299865722656,339.0,328.9757995605469,33615700,QQQ
2021-04-29,342.3699951171875,342.79998779296875,336.8999938964844,340.2200012207031,330.1597595214844,37708900,QQQ
2021-04-30,337.70001220703125,340.260009765625,337.04998779296875,337.989990234375,327.9956359863281,38263400,QQQ
2021-05-03,339.2300109863281,340.0,335.7300109863281,336.19000244140625,326.24884033203125,29729700,QQQ
2021-05-04,333.55999755859375,333.8900146484375,326.2099914550781,330.1400146484375,320.3777770996094,65147000,QQQ
2021-05-05,332.25,333.1400146484375,328.2300109863281,329.0299987792969,319.3006286621094,46219300,QQQ
2021-05-06,328.760009765625,331.6700134277344,326.45001220703125,331.510009765625,321.70733642578125,46814300,QQQ
2021-05-07,334.3699951171875,336.6499938964844,331.69000244140625,334.20001220703125,324.3177490234375,53324500,QQQ
2021-05-10,332.7799987792969,332.9599914550781,325.54998779296875,325.760009765625,316.12738037109375,60700500,QQQ
2021-05-11,319.70001220703125,326.1300048828125,319.0199890136719,325.30999755859375,315.690673828125,71963600,QQQ
2021-05-12,320.2300109863281,322.6199951171875,316.0,316.8900146484375,307.5196228027344,91164900,QQQ
2021-05-13,319.9200134277344,322.3999938964844,316.8999938964844,319.3399963378906,309.8971252441406,69877800,QQQ
2021-05-14,322.6000061035156,327.3299865722656,322.0799865722656,326.3900146484375,316.7386779785156,44370000,QQQ
2021-05-17,324.6300048828125,326.3699951171875,321.45001220703125,324.4100036621094,314.8172912597656,39395000,QQQ
2021-05-18,325.3900146484375,326.6499938964844,321.94000244140625,322.2200012207031,312.6919860839844,36528500,QQQ
2021-05-19,316.6600036621094,322.8999938964844,316.29998779296875,322.5899963378906,313.0509948730469,66319100,QQQ
2021-05-20,324.1199951171875,329.7099914550781,323.8900146484375,328.8299865722656,319.1065368652344,46466100,QQQ
