symbol,entry_date,exit_date,entry_price,exit_price,shares,direction,breakout_level,atr_at_entry,stop_price,target_price,bars_held,gross_pnl,transaction_costs,net_pnl,return_on_trade,exit_reason,trade_outcome,test_start,test_end,chosen_param_id
AMZN,2025-06-27 09:30:00,2025-07-02 09:30:00,220.76,219.36,174,long,218.4,4.782857142857141,215.02057142857143,232.23885714285714,32.5,-243.59999999999604,17.316176000000002,-260.916175999996,-0.0067925269653630205,timeout,Timed out,2025-04-22,2025-07-22,0
AMZN,2025-07-11 09:30:00,2025-07-16 09:30:00,224.31,223.98,182,long,224.29,4.56357142857142,218.8337142857143,235.26257142857142,32.5,-60.060000000002276,18.317756000000003,-78.37775600000228,-0.0019198743301191367,timeout,Timed out,2025-04-22,2025-07-22,0
AMZN,2025-07-22 14:00:00,2025-07-22 15:00:00,227.78,227.52,240,long,227.27,3.4549999999999983,223.63400000000001,236.072,0.27,-62.39999999999782,24.254399999999997,-86.6543999999978,-0.0015851259987707037,end_of_data,Timed out,2025-04-22,2025-07-22,0
AMZN,2025-09-09 09:30:00,2025-09-10 14:00:00,236.34,230.514,170,long,236.0,4.854999999999994,230.514,247.992,7.72,-990.4199999999989,17.873036000000003,-1008.293035999999,-0.025095775179327862,stop_loss,Stop-loss triggered,2025-07-23,2025-10-20,0
AMZN,2026-01-08 09:30:00,2026-01-13 09:30:00,244.09,245.9,168,long,243.18,4.882142857142851,238.23142857142858,255.80714285714285,32.5,304.0800000000004,18.463664,285.6163360000004,0.006965042558463027,timeout,Timed out,2025-10-21,2026-01-21,0
