symbol,train_start,train_end,test_start,test_end,chosen_param_id,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,ending_equity,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,num_trades,avg_return_per_trade,win_rate,profit_factor,expectancy_dollars
AMZN,2024-04-18,2025-04-21,2025-04-22,2025-07-22,0,20,50,EMA,14,1.2,2.4,5,0.8,99544.07089599999,-0.00455929104000008,-0.016944290019845987,0.028702469822047473,-1.2871467246162787,-0.008699137435198123,3,-0.003432509098084287,0.0,0.0,-141.98277733333205
AMZN,2024-07-19,2025-07-22,2025-07-23,2025-10-20,0,20,50,EMA,14,1.2,2.4,5,0.8,98526.74229999998,-0.010219881373576434,-0.03743613547887081,0.019467984267212857,-2.9502867215483777,-0.013516591541147482,1,-0.025095775179327862,0.0,0.0,-1008.293035999999
AMZN,2024-10-17,2025-10-20,2025-10-21,2026-01-21,0,20,50,EMA,14,1.2,2.4,5,0.8,98803.15721199999,0.0028054810861233292,0.01060513639592009,0.012676528973417362,-0.7411227177235116,-0.004266437496662667,1,0.006965042558463027,1.0,,285.6163360000004
