symbol,train_start,train_end,test_start,test_end,chosen_param_id,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,ending_equity,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,num_trades,avg_return_per_trade,win_rate,profit_factor,expectancy_dollars
SPY,2021-04-19,2022-04-14,2022-04-18,2022-07-18,10,20,50,EMA,14,1.0,3.0,5,0.75,100000.0,0.0,0.0,0.0,,0.0,0,,,,
SPY,2021-07-19,2022-07-18,2022-07-19,2022-10-14,9,20,50,EMA,14,1.0,2.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
SPY,2021-10-15,2022-10-14,2022-10-17,2023-01-17,0,20,50,SMA,14,1.0,2.0,5,0.75,100000.0,0.0,0.0,0.0,,0.0,0,,,,
SPY,2022-01-14,2023-01-17,2023-01-18,2023-04-18,0,20,50,SMA,14,1.0,2.0,5,0.75,100271.74966790162,0.002717496679016218,0.010914375772352436,0.007425363241772131,-1.2235932346764489,-0.0010457877662353177,1,0.0029664734524939016,1.0,,292.6769857849121
SPY,2022-04-18,2023-04-18,2023-04-19,2023-07-19,0,20,50,SMA,14,1.0,2.0,5,0.75,102196.56601766881,0.019195998435672657,0.07902334151458823,0.021593388366835577,2.7333987844742245,-0.0007424757533947002,1,0.01630638557140795,1.0,,1950.0692094412602
SPY,2022-07-19,2023-07-19,2023-07-20,2023-10-17,2,20,50,SMA,14,1.0,3.0,5,0.75,102196.56601766881,0.0,0.0,0.0,,0.0,0,,,,
SPY,2022-10-17,2023-10-17,2023-10-18,2024-01-18,2,20,50,SMA,14,1.0,3.0,5,0.75,102196.56601766881,0.0,0.0,0.0,,0.0,0,,,,
SPY,2023-01-18,2024-01-18,2024-01-19,2024-04-18,2,20,50,SMA,14,1.0,3.0,5,0.75,102196.56601766881,0.0,0.0,0.0,,0.0,0,,,,
SPY,2023-04-19,2024-04-18,2024-04-19,2024-07-19,10,20,50,EMA,14,1.0,3.0,5,0.75,103502.20390989904,0.012775751114812328,0.0520906910222565,0.04619475475811312,0.6946825714367593,-0.022932823646469647,3,0.004046468096592344,0.6666666666666666,2.2622865430457817,461.9893456156413
SPY,2023-07-20,2024-07-19,2024-07-22,2024-10-17,3,20,50,SMA,14,1.0,3.0,5,0.9,103502.20390989904,0.0,0.0,0.0,,0.0,0,,,,
SPY,2023-10-18,2024-10-17,2024-10-18,2025-01-21,11,20,50,EMA,14,1.0,3.0,5,0.9,103502.20390989904,0.0,0.0,0.0,,0.0,0,,,,
SPY,2024-01-19,2025-01-21,2025-01-22,2025-04-22,0,20,50,SMA,14,1.0,2.0,5,0.75,103502.20390989904,0.0,0.0,0.0,,0.0,0,,,,
SPY,2024-04-19,2025-04-22,2025-04-23,2025-07-23,8,20,50,EMA,14,1.0,2.0,5,0.75,107546.44863054113,0.03907399618430052,0.16569760799509736,0.04455841432182236,3.269811329972359,-0.008827956532229786,4,0.00945198488689737,1.0,,1034.7340450683594
SPY,2024-07-22,2025-07-23,2025-07-24,2025-10-21,17,55,50,SMA,14,1.0,2.0,5,0.9,107546.44863054113,0.0,0.0,0.0,,0.0,0,,,,
SPY,2024-10-18,2025-10-21,2025-10-22,2026-01-22,17,55,50,SMA,14,1.0,2.0,5,0.9,107546.44863054113,0.0,0.0,0.0,,0.0,0,,,,
