timestamp,open,high,low,close,volume,symbol,date
2024-04-18,749.42,752.2,743.77,745.95,664393,LLY,2024-04-18
2024-04-19,749.16,750.01,722.07,726.31,1586946,LLY,2024-04-19
2024-04-22,729.74,737.88,725.42,731.33,836354,LLY,2024-04-22
2024-04-23,741.2,746.16,731.44,745.69,615967,LLY,2024-04-23
2024-04-24,752.64,752.64,728.78,732.2,791311,LLY,2024-04-24
2024-04-25,725.0,728.0,718.3,724.87,1299497,LLY,2024-04-25
2024-04-26,723.48,737.45,721.0,733.51,769676,LLY,2024-04-26
2024-04-29,735.75,740.58,729.61,737.2,1009961,LLY,2024-04-29
2024-04-30,775.0,795.5,767.66,781.1,3813741,LLY,2024-04-30
2024-05-01,774.75,782.61,768.25,776.75,1342430,LLY,2024-05-01
2024-05-02,777.34,777.34,754.29,755.91,1516660,LLY,2024-05-02
2024-05-03,743.0,745.0,730.34,734.97,2376404,LLY,2024-05-03
2024-05-06,738.04,766.99,736.0,766.68,1644680,LLY,2024-05-06
2024-05-07,768.9,779.09,762.11,777.77,1290605,LLY,2024-05-07
2024-05-08,779.1,781.35,772.2,775.0,743973,LLY,2024-05-08
2024-05-09,777.0,784.0,769.2,771.55,694996,LLY,2024-05-09
2024-05-10,774.02,777.42,760.0,760.0,811828,LLY,2024-05-10
2024-05-13,763.5,763.55,750.53,757.7,696171,LLY,2024-05-13
2024-05-14,751.52,764.5,751.52,763.98,926958,LLY,2024-05-14
2024-05-15,764.15,787.66,763.1,787.02,1221542,LLY,2024-05-15
2024-05-16,784.71,786.48,770.14,771.12,891305,LLY,2024-05-16
2024-05-17,772.89,774.87,767.1,770.0,636402,LLY,2024-05-17
2024-05-20,766.9,784.33,766.12,783.18,758184,LLY,2024-05-20
2024-05-21,792.46,816.61,791.39,803.17,1995180,LLY,2024-05-21
2024-05-22,801.0,804.88,795.25,802.91,757400,LLY,2024-05-22
2024-05-23,810.0,820.61,802.15,808.45,1374510,LLY,2024-05-23
2024-05-24,808.0,810.12,804.15,807.43,823783,LLY,2024-05-24
2024-05-28,809.0,809.0,788.25,807.86,1084350,LLY,2024-05-28
2024-05-29,802.85,815.61,802.09,811.53,1038962,LLY,2024-05-29
2024-05-30,812.79,819.99,806.11,815.06,803541,LLY,2024-05-30
2024-05-31,818.8,826.21,811.1,820.34,1129309,LLY,2024-05-31
2024-06-03,823.83,838.28,818.5,831.26,1176438,LLY,2024-06-03
2024-06-04,834.0,835.47,825.31,832.59,650205,LLY,2024-06-04
2024-06-05,830.49,838.45,817.62,831.76,936928,LLY,2024-06-05
2024-06-06,834.88,846.98,831.88,837.29,937738,LLY,2024-06-06
2024-06-07,837.76,856.81,837.01,849.99,1191904,LLY,2024-06-07
2024-06-10,853.98,871.63,849.39,865.0,1490662,LLY,2024-06-10
2024-06-11,882.14,882.14,852.23,865.82,1721359,LLY,2024-06-11
2024-06-12,872.0,872.0,853.85,867.3,1236846,LLY,2024-06-12
2024-06-13,869.03,885.06,861.5,883.33,976928,LLY,2024-06-13
2024-06-14,882.33,884.61,876.0,878.45,737144,LLY,2024-06-14
2024-06-17,878.0,892.2,876.86,885.01,1103425,LLY,2024-06-17
2024-06-18,887.0,894.87,884.0,891.46,869488,LLY,2024-06-18
2024-06-20,893.0,905.45,870.13,885.99,1409873,LLY,2024-06-20
2024-06-21,885.66,891.97,879.8,883.88,1287297,LLY,2024-06-21
2024-06-24,889.98,903.58,882.94,890.11,1264830,LLY,2024-06-24
2024-06-25,891.77,909.42,891.5,904.61,1233267,LLY,2024-06-25
2024-06-26,904.0,906.35,897.84,901.26,614035,LLY,2024-06-26
2024-06-27,903.53,909.57,899.72,909.04,783396,LLY,2024-06-27
2024-06-28,911.31,915.54,905.38,905.38,921191,LLY,2024-06-28
2024-07-01,911.77,916.83,904.31,914.37,1093777,LLY,2024-07-01
2024-07-02,902.71,912.0,878.5,906.71,2329566,LLY,2024-07-02
