symbol,train_start,train_end,test_start,test_end,chosen_param_id,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,ending_equity,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,num_trades,avg_return_per_trade,win_rate,profit_factor,expectancy_dollars
XLF,2021-04-19,2022-04-14,2022-04-18,2022-07-18,1,20,50,SMA,14,1.0,2.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
XLF,2021-07-19,2022-07-18,2022-07-19,2022-10-14,0,20,50,SMA,14,1.0,2.0,5,0.75,100000.0,0.0,0.0,0.0,,0.0,0,,,,
XLF,2021-10-15,2022-10-14,2022-10-17,2023-01-17,0,20,50,SMA,14,1.0,2.0,5,0.75,99646.04690640945,-0.0035395309359055327,-0.01408313128811478,0.007079061871811066,-4.8146395532767325,-0.0035395309359055327,1,-0.004839847822901483,0.0,0.0,-330.79831205368043
XLF,2022-01-14,2023-01-17,2023-01-18,2023-04-18,8,20,50,EMA,14,1.0,2.0,5,0.75,99646.04690640945,0.0,0.0,0.0,,0.0,0,,,,
XLF,2022-04-18,2023-04-18,2023-04-19,2023-07-19,8,20,50,EMA,14,1.0,2.0,5,0.75,97765.05388319779,-0.018876745055208755,-0.07339576974123374,0.0469143326680099,-1.9907726366300582,-0.026588408887250226,3,-0.00753582099521882,0.3333333333333333,0.14138893893846405,-599.0228843780485
XLF,2022-07-19,2023-07-19,2023-07-20,2023-10-17,12,20,50,EMA,14,1.5,2.0,5,0.75,97765.05388319779,0.0,0.0,0.0,,0.0,0,,,,
XLF,2022-10-17,2023-10-17,2023-10-18,2024-01-18,5,20,50,SMA,14,1.5,2.0,5,0.9,96718.9812794323,-0.010699862192223297,-0.04211741333868402,0.015221002713919322,-4.081032932336239,-0.010838039332210503,1,-0.014752812922768685,0.0,0.0,-1023.0286734294891
XLF,2023-01-18,2024-01-18,2024-01-19,2024-04-18,5,20,50,SMA,14,1.5,2.0,5,0.9,96718.9812794323,0.0,0.0,0.0,,0.0,0,,,,
XLF,2023-04-19,2024-04-18,2024-04-19,2024-07-19,17,55,50,SMA,14,1.0,2.0,5,0.9,98566.26562129783,0.01909950164310059,0.07861475472532775,0.024188288647449502,2.423270020448854,0.0,1,0.020710568990083028,1.0,,1875.9249713516235
XLF,2023-07-20,2024-07-19,2024-07-22,2024-10-17,17,55,50,SMA,14,1.0,2.0,5,0.9,100458.43685551152,0.01919694555015017,0.07902735236256797,0.02317180001173539,2.5473788109975697,0.0,1,0.022745577774223816,1.0,,1918.086814268935
XLF,2023-10-18,2024-10-17,2024-10-18,2025-01-21,17,55,50,SMA,14,1.0,2.0,5,0.9,100458.43685551152,0.0,0.0,0.0,,0.0,0,,,,
XLF,2024-01-19,2025-01-21,2025-01-22,2025-04-22,6,20,50,SMA,14,1.5,3.0,5,0.75,100458.43685551152,0.0,0.0,0.0,,0.0,0,,,,
XLF,2024-04-19,2025-04-22,2025-04-23,2025-07-23,2,20,50,SMA,14,1.0,3.0,5,0.75,100458.43685551152,0.0,0.0,0.0,,0.0,0,,,,
XLF,2024-07-22,2025-07-23,2025-07-24,2025-10-21,0,20,50,SMA,14,1.0,2.0,5,0.75,100458.43685551152,0.0,0.0,0.0,,0.0,0,,,,
XLF,2024-10-18,2025-10-21,2025-10-22,2026-01-22,0,20,50,SMA,14,1.0,2.0,5,0.75,99370.5121086968,-0.01082960058774829,-0.0426197874960047,0.030304657645576303,-2.06634202004079,-0.01664814103280643,1,-0.01093886397329286,0.0,0.0,-1059.9011144981403
