symbol,train_start,train_end,test_start,test_end,param_id,score,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,train_ending_equity,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,train_num_trades,train_avg_return_per_trade,train_win_rate,train_profit_factor,train_expectancy_dollars
IWM,2021-04-19,2022-04-14,2022-04-18,2022-07-18,3,0.5607071237887089,20,50,SMA,14,1.0,3.0,5,0.9,102946.70081336211,0.02946700813362102,0.02946700813362102,0.01766089317631605,0.5360435646775017,-0.0002797798224134507,1,0.04013346514940487,1.0,,2963.041753669735
IWM,2021-07-19,2022-07-18,2022-07-19,2022-10-14,3,0.5607071237887089,20,50,SMA,14,1.0,3.0,5,0.9,102946.70081336211,0.02946700813362102,0.02946700813362102,0.01766089317631605,0.5360435646775017,-0.0002797798224134507,1,0.04013346514940487,1.0,,2963.041753669735
IWM,2021-10-15,2022-10-14,2022-10-17,2023-01-17,18,0.2946337574859801,55,50,SMA,14,1.0,3.0,5,0.75,102553.721419281,0.025537214192810076,0.025537214192810076,0.02026623210645518,0.27322366405970294,-0.005434054680511502,1,0.04656005181504828,1.0,,2566.17951489563
IWM,2022-01-14,2023-01-17,2023-01-18,2023-04-18,18,0.2946337574859801,55,50,SMA,14,1.0,3.0,5,0.75,102553.721419281,0.025537214192810076,0.025537214192810076,0.02026623210645518,0.27322366405970294,-0.005434054680511502,1,0.04656005181504828,1.0,,2566.17951489563
IWM,2022-04-18,2023-04-18,2023-04-19,2023-07-19,16,0.8733757680743744,55,50,SMA,14,1.0,2.0,5,0.75,103955.37319026097,0.0395537319026098,0.0395537319026098,0.02341883733559518,0.8349574157931974,-0.005434054680511502,2,0.034731803280224564,1.0,,1990.6607710139713
IWM,2022-07-19,2023-07-19,2023-07-20,2023-10-17,16,0.432556828046379,55,50,SMA,14,1.0,2.0,5,0.75,103100.50083673117,0.03100500836731168,0.03100500836731168,0.028778437248622307,0.3824046549935062,-0.021401324523131815,4,0.012941683953015806,0.75,3.9952373808754755,788.6851571495611
IWM,2022-10-17,2023-10-17,2023-10-18,2024-01-18,17,0.10523216371336612,55,50,SMA,14,1.0,2.0,5,0.9,102177.92053599854,0.021779205359985454,0.021779205359985454,0.023065868639370306,0.07713584898114748,-0.011173151791096347,2,0.018268603407970447,1.0,,1102.8120696411133
IWM,2023-01-18,2024-01-18,2024-01-19,2024-04-18,17,0.6774271773015479,55,50,SMA,14,1.0,2.0,5,0.9,103798.84190079955,0.037988419007995544,0.037988419007995544,0.028956308336346322,0.6212262557453242,-0.011173151791096347,4,0.01664300531269699,1.0,,962.8714650749207
IWM,2023-04-19,2024-04-18,2024-04-19,2024-07-19,9,0.7730626362567186,20,50,EMA,14,1.0,2.0,5,0.9,104116.33303454089,0.041163330345408866,0.041163330345408866,0.0300168098916049,0.7050492847785209,-0.01027325477802743,5,0.014113699305987725,0.8,4.905948471768042,835.7634124794656
IWM,2023-07-20,2024-07-19,2024-07-22,2024-10-17,2,0.33819003898297506,20,50,SMA,14,1.0,3.0,5,0.75,103098.10950882483,0.03098109508824831,0.03098109508824831,0.03922752469926255,0.27993341849721015,-0.02893570823343694,5,0.007979349727667534,0.6,3.561438730875688,633.3526168644487
IWM,2023-10-18,2024-10-17,2024-10-18,2025-01-21,2,0.49119219904091094,20,50,SMA,14,1.0,3.0,5,0.75,103359.43048695505,0.03359430486955062,0.03359430486955062,0.03033134012126278,0.44819334771234787,-0.015193204424849172,3,0.015035071323082455,0.6666666666666666,13.296060191269143,1135.2588550358348
IWM,2024-01-19,2025-01-21,2025-01-22,2025-04-22,18,0.10815261134045777,55,50,SMA,14,1.0,3.0,5,0.75,102185.4584053397,0.02185458405339702,0.02185458405339702,0.025794931980553496,0.07189722596652585,-0.018687626611066377,3,0.007588058966905345,0.3333333333333333,4.04212295806822,742.6803336209235
IWM,2024-04-19,2025-04-22,2025-04-23,2025-07-23,18,0.10815261134045775,55,50,SMA,14,1.0,3.0,5,0.75,102185.4584053397,0.02185458405339702,0.02185458405339702,0.0257949319805535,0.07189722596652584,-0.018687626611066377,3,0.007588058966905345,0.3333333333333333,4.04212295806822,742.6803336209235
IWM,2024-07-22,2025-07-23,2025-07-24,2025-10-21,16,-1.1218514084625455,55,50,SMA,14,1.0,2.0,5,0.75,98704.93777119531,-0.012950622288046887,-0.012950622288046887,0.02845119610210693,-1.158145413985135,-0.028922733333548334,5,-0.00425367825327462,0.2,0.5544033119640038,-245.71495874860466
IWM,2024-10-18,2025-10-21,2025-10-22,2026-01-22,16,-1.716010024022413,55,50,SMA,14,1.0,2.0,5,0.75,96266.53740380904,-0.03733462596190962,-0.03733462596190962,0.03265250826180246,-1.7559026553859198,-0.045760222622152846,7,-0.008206243240121801,0.14285714285714285,0.2975904138051142,-518.9115634900153
