timestamp,open,high,low,close,volume,symbol,date
2024-04-18,499.82,512.21,499.04,501.8,9106190,META,2024-04-18
2024-04-19,501.58,502.8,475.73,481.07,12338826,META,2024-04-19
2024-04-22,489.43,492.01,473.52,481.73,9901250,META,2024-04-22
2024-04-23,491.25,498.76,488.97,496.1,8082092,META,2024-04-23
2024-04-24,508.13,510.0,484.58,493.5,15450289,META,2024-04-24
2024-04-25,421.25,445.77,414.5,441.38,54530972,META,2024-04-25
2024-04-26,441.45,446.44,431.96,443.29,20712925,META,2024-04-26
2024-04-29,439.29,439.76,428.56,432.62,13208693,META,2024-04-29
2024-04-30,431.05,439.62,429.72,430.17,10502206,META,2024-04-30
2024-05-01,428.8,449.96,427.11,439.19,13026610,META,2024-05-01
2024-05-02,438.56,443.96,432.28,441.68,9175254,META,2024-05-02
2024-05-03,445.68,454.17,443.85,451.96,10112828,META,2024-05-03
2024-05-06,455.58,466.16,453.34,465.68,8870614,META,2024-05-06
2024-05-07,466.39,471.53,461.31,468.24,7892364,META,2024-05-07
2024-05-08,463.5,475.58,463.0,472.6,7266095,META,2024-05-08
2024-05-09,470.0,476.08,467.63,475.42,5509024,META,2024-05-09
2024-05-10,477.09,477.5,469.6,476.2,6631106,META,2024-05-10
2024-05-13,472.55,473.35,462.85,468.01,8109649,META,2024-05-13
2024-05-14,463.33,472.54,460.08,471.85,5875697,META,2024-05-14
2024-05-15,474.98,482.5,471.2,481.54,6423721,META,2024-05-15
2024-05-16,475.0,477.69,472.75,473.23,8371910,META,2024-05-16
2024-05-17,470.83,472.25,468.42,471.91,5561199,META,2024-05-17
2024-05-20,470.19,473.2,467.04,468.84,6214051,META,2024-05-20
2024-05-21,467.7,470.7,462.27,464.63,6717265,META,2024-05-21
2024-05-22,467.67,473.72,465.65,467.78,5474722,META,2024-05-22
2024-05-23,472.88,474.36,461.54,465.78,6468671,META,2024-05-23
2024-05-24,467.49,479.85,466.3,478.22,6963688,META,2024-05-24
2024-05-28,476.58,480.86,474.84,479.92,5431852,META,2024-05-28
2024-05-29,474.62,479.85,473.7,474.36,4351873,META,2024-05-29
2024-05-30,471.67,471.73,464.71,467.05,6106750,META,2024-05-30
2024-05-31,466.25,469.12,454.46,466.83,7241553,META,2024-05-31
2024-06-03,470.86,479.6,468.24,477.49,6236350,META,2024-06-03
2024-06-04,476.99,478.89,473.23,476.99,3797615,META,2024-06-04
2024-06-05,484.45,496.65,483.91,495.06,9376610,META,2024-06-05
2024-06-06,492.98,502.82,490.89,493.76,6539834,META,2024-06-06
2024-06-07,495.78,498.91,490.17,492.96,4512253,META,2024-06-07
2024-06-10,493.45,502.66,493.41,502.6,4908644,META,2024-06-10
2024-06-11,500.14,507.6,498.27,507.47,4816696,META,2024-06-11
2024-06-12,513.93,514.01,504.47,508.84,6350616,META,2024-06-12
2024-06-13,505.71,509.36,501.36,504.1,4143563,META,2024-06-13
2024-06-14,502.65,507.15,500.75,504.16,3688311,META,2024-06-14
2024-06-17,501.67,510.75,496.01,506.63,5118770,META,2024-06-17
2024-06-18,504.56,506.0,495.02,499.49,5821992,META,2024-06-18
2024-06-20,501.81,503.67,496.77,501.7,4981355,META,2024-06-20
2024-06-21,502.57,503.45,492.39,494.78,7699159,META,2024-06-21
2024-06-24,499.2,507.8,494.29,498.91,7571176,META,2024-06-24
2024-06-25,496.99,510.71,495.5,510.6,6641853,META,2024-06-25
2024-06-26,506.74,513.81,504.67,513.12,4309977,META,2024-06-26
2024-06-27,514.41,522.88,513.9,519.56,5228860,META,2024-06-27
2024-06-28,517.15,521.88,503.84,504.22,6499851,META,2024-06-28
2024-07-01,504.85,506.58,493.17,504.68,5897857,META,2024-07-01
