symbol,train_start,train_end,test_start,test_end,chosen_param_id,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,ending_equity,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,num_trades,avg_return_per_trade,win_rate,profit_factor,expectancy_dollars
NVDA,2024-04-18,2025-04-21,2025-04-22,2025-07-22,0,20,50,EMA,14,1.2,2.4,5,0.8,99510.30874399995,-0.004896912560000466,-0.018190613721181137,0.04724133181261815,-0.8084152638342943,-0.027940306872079934,7,-0.004522934332734911,0.2857142857142857,0.8657723692658994,-62.38744514285785
NVDA,2024-07-19,2025-07-22,2025-07-23,2025-10-20,0,20,50,EMA,14,1.2,2.4,5,0.8,98393.86920319995,-0.011219335512988371,-0.04104137216795212,0.02497280585522389,-2.44431372757352,-0.015224051633958902,2,-0.01854285487475865,0.0,0.0,-551.4416473999986
NVDA,2024-10-17,2025-10-20,2025-10-21,2026-01-21,0,20,50,EMA,14,1.2,2.4,5,0.8,98393.86920319995,0.0,0.0,0.0,,0.0,0,,,,
