symbol,entry_date,exit_date,entry_price,exit_price,shares,direction,breakout_level,atr_at_entry,stop_price,target_price,bars_held,gross_pnl,transaction_costs,net_pnl,return_on_trade,exit_reason,trade_outcome,test_start,test_end,chosen_param_id
META,2025-06-04 09:30:00,2025-06-09 09:30:00,682.34,700.7,56,long,673.26,14.866428571428587,664.5002857142857,718.0194285714286,32.5,1028.1600000000008,17.490048,1010.6699520000008,0.026449684489090082,timeout,Timed out,2025-04-22,2025-07-22,0
META,2025-06-24 13:00:00,2025-06-30 09:30:00,710.02,742.81,56,long,708.88,14.935714285714303,692.0971428571428,745.8657142857143,38.05,1836.239999999998,18.271696,1817.9683039999982,0.04572226094234766,timeout,Timed out,2025-04-22,2025-07-22,0
META,2025-09-18 09:30:00,2025-09-23 09:30:00,782.39,764.4088571428571,57,long,781.36,14.984285714285729,764.4088571428571,818.3522857142857,32.5,-1024.925142857146,19.63350697142857,-1044.5586498285745,-0.02342257742030155,stop_loss,Stop-loss triggered,2025-07-23,2025-10-20,0
