timestamp,open,high,low,close,adj_close,volume,symbol
2021-04-19,71.33000183105469,71.66000366210938,70.62999725341797,71.05500030517578,68.3935317993164,10254000,XLK
2021-04-20,70.90499877929688,71.21499633789062,70.02999877929688,70.42500305175781,67.78714752197266,9873400,XLK
2021-04-21,70.30000305175781,71.16000366210938,70.1050033569336,71.13500213623047,68.47056579589844,9254200,XLK
2021-04-22,71.01000213623047,71.31500244140625,69.98999786376953,70.30000305175781,67.66682434082031,11652200,XLK
2021-04-23,70.43000030517578,71.57499694824219,70.41500091552734,71.3499984741211,68.677490234375,8886000,XLK
2021-04-26,71.375,71.79000091552734,71.32499694824219,71.71499633789062,69.02882385253906,7735000,XLK
2021-04-27,71.83000183105469,71.88500213623047,71.28500366210938,71.54000091552734,68.8603744506836,10822000,XLK
2021-04-28,71.125,71.22000122070312,70.70500183105469,70.875,68.22027587890625,10691200,XLK
2021-04-29,71.45500183105469,71.54499816894531,70.09500122070312,70.81500244140625,68.16252136230469,13416600,XLK
2021-04-30,70.09500122070312,70.4749984741211,69.68499755859375,69.8499984741211,67.2336654663086,10583400,XLK
2021-05-03,70.2249984741211,70.36499786376953,69.4800033569336,69.65499877929688,67.04597473144531,10805800,XLK
2021-05-04,69.13500213623047,69.15499877929688,67.6449966430664,68.40499877929688,65.8427963256836,19919600,XLK
2021-05-05,68.96499633789062,68.99500274658203,68.11000061035156,68.23999786376953,65.6839599609375,11245800,XLK
2021-05-06,68.20999908447266,68.96499633789062,67.72000122070312,68.92500305175781,66.34332275390625,14338600,XLK
2021-05-07,69.61499786376953,69.92500305175781,69.21499633789062,69.51499938964844,66.91120910644531,19196600,XLK
2021-05-10,69.18000030517578,69.21499633789062,67.73500061035156,67.76000213623047,65.22196960449219,20281000,XLK
2021-05-11,66.46499633789062,67.69499969482422,66.30500030517578,67.55500030517578,65.02462005615234,27046800,XLK
2021-05-12,66.55999755859375,66.92500305175781,65.4800033569336,65.65499877929688,63.19580078125,29414600,XLK
2021-05-13,66.375,67.125,66.08000183105469,66.5250015258789,64.03321075439453,22610400,XLK
2021-05-14,67.2699966430664,68.2249984741211,67.13999938964844,67.98999786376953,65.44334411621094,16823000,XLK
2021-05-17,67.58999633789062,67.61000061035156,66.875,67.48999786376953,64.96206665039062,16267200,XLK
2021-05-18,67.68499755859375,67.82499694824219,66.90499877929688,66.94999694824219,64.44230651855469,11737200,XLK
2021-05-19,65.91000366210938,67.23500061035156,65.75,67.18499755859375,64.6684799194336,30581200,XLK
2021-05-20,67.45500183105469,68.69999694824219,67.44499969482422,68.47000122070312,65.90535736083984,16828200,XLK
2021-05-21,68.81999969482422,68.88500213623047,68.03500366210938,68.09500122070312,65.5444107055664,14148400,XLK
