timestamp,open,high,low,close,volume,symbol,date
2025-04-21 09:30:00,67.78,68.0,66.82,66.85,1528532,MU,2025-04-21
2025-04-21 10:00:00,66.85,67.2,66.56,67.12,1325976,MU,2025-04-21
2025-04-21 11:00:00,67.14,67.17,65.8,65.87,1456202,MU,2025-04-21
2025-04-21 12:00:00,65.87,66.55,65.82,65.86,1212171,MU,2025-04-21
2025-04-21 13:00:00,65.86,66.24,65.68,65.77,1023640,MU,2025-04-21
2025-04-21 14:00:00,65.77,66.17,65.64,65.87,894028,MU,2025-04-21
2025-04-21 15:00:00,65.86,66.91,65.86,66.76,3034940,MU,2025-04-21
2025-04-22 09:30:00,67.54,68.89,67.44,68.33,1759935,MU,2025-04-22
2025-04-22 10:00:00,68.35,69.24,68.13,68.95,2195858,MU,2025-04-22
2025-04-22 11:00:00,68.96,69.49,68.67,69.24,1460230,MU,2025-04-22
2025-04-22 12:00:00,69.3,69.99,69.29,69.62,1251707,MU,2025-04-22
2025-04-22 13:00:00,69.61,69.93,68.86,69.06,1294511,MU,2025-04-22
2025-04-22 14:00:00,69.07,70.27,69.05,70.26,1457355,MU,2025-04-22
2025-04-22 15:00:00,70.25,70.4,69.18,70.22,3214853,MU,2025-04-22
2025-04-23 09:30:00,73.71,75.4,73.47,74.36,4134155,MU,2025-04-23
2025-04-23 10:00:00,74.41,75.01,73.62,73.69,3335128,MU,2025-04-23
2025-04-23 11:00:00,73.7,74.34,72.5,73.08,3317431,MU,2025-04-23
2025-04-23 12:00:00,73.07,73.9,72.78,73.81,1421081,MU,2025-04-23
2025-04-23 13:00:00,73.81,74.16,73.28,74.0,1318158,MU,2025-04-23
2025-04-23 14:00:00,73.98,74.18,73.29,73.48,1042837,MU,2025-04-23
2025-04-23 15:00:00,73.48,73.64,72.52,72.85,2933466,MU,2025-04-23
2025-04-24 09:30:00,74.57,75.96,73.6,75.87,2883322,MU,2025-04-24
2025-04-24 10:00:00,75.87,76.21,75.25,75.61,4049858,MU,2025-04-24
2025-04-24 11:00:00,75.62,76.37,75.47,76.09,1923899,MU,2025-04-24
2025-04-24 12:00:00,76.08,77.06,75.97,77.01,1549628,MU,2025-04-24
2025-04-24 13:00:00,77.0,77.35,76.65,77.29,1336013,MU,2025-04-24
2025-04-24 14:00:00,77.28,77.4,76.84,77.07,1209611,MU,2025-04-24
2025-04-24 15:00:00,77.07,77.59,76.64,77.39,2863398,MU,2025-04-24
2025-04-25 09:30:00,77.55,78.39,76.9,78.0,2232436,MU,2025-04-25
2025-04-25 10:00:00,78.0,79.1,77.7,78.22,2661137,MU,2025-04-25
2025-04-25 11:00:00,78.21,78.53,77.84,78.47,931993,MU,2025-04-25
2025-04-25 12:00:00,78.48,79.52,78.35,79.48,1759447,MU,2025-04-25
2025-04-25 13:00:00,79.48,80.3,78.72,79.25,2066887,MU,2025-04-25
2025-04-25 14:00:00,79.25,80.19,79.19,79.85,1239775,MU,2025-04-25
2025-04-25 15:00:00,79.83,80.0,79.32,79.79,2119761,MU,2025-04-25
2025-04-28 09:30:00,78.77,79.61,78.38,78.67,2128173,MU,2025-04-28
2025-04-28 10:00:00,78.72,79.32,78.01,78.08,1526330,MU,2025-04-28
2025-04-28 11:00:00,78.08,78.32,76.96,77.42,1628758,MU,2025-04-28
2025-04-28 12:00:00,77.43,77.63,76.92,77.24,810646,MU,2025-04-28
2025-04-28 13:00:00,77.23,77.55,77.07,77.49,600077,MU,2025-04-28
2025-04-28 14:00:00,77.48,78.25,77.44,78.03,734759,MU,2025-04-28
2025-04-28 15:00:00,78.04,78.85,77.99,78.56,1848047,MU,2025-04-28
2025-04-29 09:30:00,77.88,78.19,77.16,77.32,1620818,MU,2025-04-29
2025-04-29 10:00:00,77.32,77.72,76.52,77.3,2483760,MU,2025-04-29
2025-04-29 11:00:00,77.3,77.45,76.55,76.68,1306977,MU,2025-04-29
2025-04-29 12:00:00,76.68,77.24,76.47,76.62,1008286,MU,2025-04-29
2025-04-29 13:00:00,76.62,77.7,76.48,77.54,1211730,MU,2025-04-29
2025-04-29 14:00:00,77.55,77.77,77.31,77.34,892058,MU,2025-04-29
2025-04-29 15:00:00,77.33,77.52,76.8,76.88,2244320,MU,2025-04-29
2025-04-30 09:30:00,73.72,75.07,73.5,73.75,2471215,MU,2025-04-30
2025-04-30 10:00:00,73.76,75.42,73.67,75.1,2820890,MU,2025-04-30
2025-04-30 11:00:00,75.1,75.8,75.1,75.59,1458380,MU,2025-04-30
2025-04-30 12:00:00,75.58,75.77,75.01,75.37,884995,MU,2025-04-30
2025-04-30 13:00:00,75.37,75.87,74.83,75.74,848686,MU,2025-04-30
2025-04-30 14:00:00,75.73,76.38,75.56,76.12,1190096,MU,2025-04-30
2025-04-30 15:00:00,76.09,77.15,76.09,76.92,2109360,MU,2025-04-30
2025-05-01 09:30:00,79.47,79.89,78.11,78.22,2744415,MU,2025-05-01
2025-05-01 10:00:00,78.23,79.44,78.23,79.35,1750663,MU,2025-05-01
2025-05-01 11:00:00,79.36,79.87,78.64,78.81,1164426,MU,2025-05-01
2025-05-01 12:00:00,78.82,78.98,78.44,78.58,577868,MU,2025-05-01
2025-05-01 13:00:00,78.57,79.05,78.4,78.65,519193,MU,2025-05-01
2025-05-01 14:00:00,78.65,78.88,78.6,78.69,502419,MU,2025-05-01
2025-05-01 15:00:00,78.7,78.75,77.64,77.76,1974600,MU,2025-05-01
2025-05-02 09:30:00,79.64,80.53,79.1,79.16,2143480,MU,2025-05-02
2025-05-02 10:00:00,79.19,80.17,79.13,80.02,1855404,MU,2025-05-02
2025-05-02 11:00:00,80.03,80.87,80.02,80.76,1180094,MU,2025-05-02
2025-05-02 12:00:00,80.77,81.67,80.76,81.4,1691074,MU,2025-05-02
2025-05-02 13:00:00,81.42,81.47,81.0,81.09,879223,MU,2025-05-02
2025-05-02 14:00:00,81.09,81.53,81.02,81.24,937180,MU,2025-05-02
2025-05-02 15:00:00,81.23,81.34,80.53,80.7,1976628,MU,2025-05-02
2025-05-05 09:30:00,79.41,80.48,79.05,80.03,1402653,MU,2025-05-05
2025-05-05 10:00:00,80.02,80.64,79.54,79.91,1765471,MU,2025-05-05
2025-05-05 11:00:00,79.9,80.11,79.68,79.81,802737,MU,2025-05-05
2025-05-05 12:00:00,79.83,80.32,79.81,80.31,512479,MU,2025-05-05
2025-05-05 13:00:00,80.3,80.67,80.17,80.62,722767,MU,2025-05-05
2025-05-05 14:00:00,80.62,81.15,80.57,80.81,938185,MU,2025-05-05
