symbol,entry_date,exit_date,entry_price,exit_price,shares,direction,breakout_level,atr_at_entry,stop_price,target_price,bars_held,gross_pnl,transaction_costs,net_pnl,return_on_trade,exit_reason,trade_outcome,test_start,test_end,chosen_param_id
SMH,2022-11-16,2022-11-17,110.37999725341797,106.4753532409668,256,long,111.30000305175781,3.904644012451172,106.4753532409668,118.18928527832031,2,-999.5888671875,13.6629939453125,-1013.2518611328125,-0.03585808281425271,stop_loss,Stop-loss triggered,2022-10-17,2023-01-17,8
SMH,2023-04-03,2023-04-05,130.9250030517578,127.3207152230399,274,long,131.52000427246094,3.6042878287179128,127.3207152230399,138.13357870919364,3,-987.5748650687087,16.891865361458915,-1004.4667304301677,-0.02800028174086535,stop_loss,Stop-loss triggered,2023-01-18,2023-04-18,0
SMH,2023-07-14,2023-07-19,158.69000244140625,158.5800018310547,320,long,155.94000244140625,3.056429181780134,155.6335732596261,167.85928998674666,4,-35.2001953125,23.5052802734375,-58.705475585937506,-0.0011560565151153262,end_of_data,Timed out,2023-04-19,2023-07-19,3
SMH,2023-10-13,2023-10-17,152.4199981689453,147.6532151358468,205,long,152.16000366210938,3.1778553553989957,147.6532151358468,161.9535642351423,3,-977.1905217851936,14.353001745496478,-991.5435235306901,-0.03173335345666559,stop_loss,Stop-loss triggered,2023-07-20,2023-10-17,7
SMH,2024-06-06,2024-06-12,255.52000427246094,263.0899963378906,110,long,250.85000610351562,5.862143380301339,246.72678920200892,273.106434413365,5,832.6991271972656,13.409420013427734,819.2897071838379,0.029148748131609704,timeout,Timed out,2024-04-19,2024-07-19,14
SMH,2024-06-13,2024-06-20,266.7900085449219,268.9200134277344,100,long,256.7200012207031,6.479997907366071,257.0700116838728,286.2300022670201,5,213.00048828125,12.714200439453126,200.28628784179688,0.007507263444165782,timeout,Timed out,2024-04-19,2024-07-19,14
SMH,2024-07-11,2024-07-11,283.0,273.0946366446359,98,long,279.57000732421875,6.603575570242746,273.0946366446359,302.81072671072826,1,-970.725608825682,12.899454878234863,-983.6250637039168,-0.03546639733554182,stop_loss,Stop-loss triggered,2024-04-19,2024-07-19,14
SMH,2025-06-05,2025-06-11,253.74000549316406,261.8800048828125,171,long,249.44000244140625,5.647856576102121,248.09214891706193,265.0357186453683,5,1391.9398956298828,19.634204354858397,1372.3056912750244,0.03162756880036679,timeout,Timed out,2025-04-23,2025-07-23,8
SMH,2025-06-25,2025-07-01,273.2200012207031,275.8399963378906,165,long,265.5299987792969,5.939286368233817,267.2807148524693,285.09857395717074,5,432.2991943359375,20.118979919433592,412.1802144165039,0.00914304185050007,timeout,Timed out,2025-04-23,2025-07-23,8
SMH,2025-07-03,2025-07-10,282.82000732421875,287.5199890136719,175,long,280.5,5.618569510323661,277.2014378138951,294.05714634486606,5,822.4967956542969,21.961899871826173,800.5348957824707,0.0161745456484374,timeout,Timed out,2025-04-23,2025-07-23,8
SMH,2025-07-16,2025-07-16,288.5,283.68428693498885,206,long,288.94000244140625,4.815713065011161,283.68428693498885,298.1314261300223,1,-992.0368913922974,25.63399262172154,-1017.670884014019,-0.017123569921657367,stop_loss,Stop-loss triggered,2025-04-23,2025-07-23,8
SMH,2025-10-07,2025-10-07,346.2900085449219,339.44858006068637,143,long,340.7799987792969,6.841428484235491,339.44858006068637,366.81429399762834,1,-978.3242732456775,21.612123634120394,-999.9363968797979,-0.02019279229373303,stop_loss,Stop-loss triggered,2025-07-24,2025-10-21,2
SMH,2026-01-06,2026-01-12,382.3999938964844,390.6600036621094,124,long,376.3399963378906,7.8371429443359375,374.56285095214844,405.9114227294922,5,1024.2412109375,21.17188793945313,1003.0693229980469,0.021153945771361548,timeout,Timed out,2025-10-22,2026-01-22,3
SMH,2026-01-16,2026-01-20,402.8500061035156,394.5735822405134,118,long,396.1000061035156,8.276423863002233,394.5735822405134,427.6792776925223,2,-976.6180158342605,20.819196684919085,-997.4372125191796,-0.020982642683742087,stop_loss,Stop-loss triggered,2025-10-22,2026-01-22,3
