symbol,windows,trade_count,avg_test_return,avg_test_sharpe,avg_max_drawdown,total_return,sharpe_ratio,win_rate
SPY,15,9,0.004917549494253448,1.3685748628017236,-0.002236602913221963,0.07546448630541125,-0.023209437231073545,0.8888888888888888
QQQ,15,10,0.0018163994573942984,0.21607624009698415,-0.004494385289728313,0.0272852017123717,-0.5309478380121779,0.7
XLK,15,11,0.0016944085759043567,-0.35530299132442794,-0.004352695743007525,0.02544538349611436,-0.6778527379120753,0.6363636363636364
XLF,15,8,-0.0003766194385223409,-1.3303563851395661,-0.0038409413458781795,-0.006294878913032043,-1.2463289015187478,0.375
IWM,15,4,0.0011264716478407433,-1.5625556109650849,-0.0019944747134257017,0.01673486627395171,-1.080887914085402,0.5
SMH,15,14,-0.0017260994852836018,-1.8897193726188675,-0.005778089278297179,-0.025883853373931176,-1.3114276957413482,0.42857142857142855
