timestamp,open,high,low,close,volume,symbol,date
2024-04-18,84.98,86.19,82.4,84.67,302400620,NVDA,2024-04-18
2024-04-19,83.13,84.32,75.61,76.2,569755230,NVDA,2024-04-19
2024-04-22,78.1,80.03,76.4,79.52,391265330,NVDA,2024-04-22
2024-04-23,80.77,82.77,80.26,82.42,287279100,NVDA,2024-04-23
2024-04-24,83.95,84.08,79.18,79.68,337109690,NVDA,2024-04-24
2024-04-25,78.97,83.32,78.22,82.63,263618970,NVDA,2024-04-25
2024-04-26,83.83,88.33,83.39,87.74,363275280,NVDA,2024-04-26
2024-04-29,87.6,87.99,85.27,87.76,262526860,NVDA,2024-04-29
2024-04-30,87.24,88.82,86.3,86.4,227799130,NVDA,2024-04-30
2024-05-01,85.17,86.0,81.25,83.04,389651340,NVDA,2024-05-01
2024-05-02,84.42,86.24,83.2,85.82,252142560,NVDA,2024-05-02
2024-05-03,87.79,89.28,87.04,88.79,269566130,NVDA,2024-05-03
2024-05-06,89.39,92.22,89.05,92.14,244644750,NVDA,2024-05-06
2024-05-07,91.08,91.78,89.01,90.55,302169050,NVDA,2024-05-07
2024-05-08,89.5,91.19,89.42,90.41,216748330,NVDA,2024-05-08
2024-05-09,90.54,91.07,88.23,88.75,262401440,NVDA,2024-05-09
2024-05-10,90.3,91.4,89.23,89.88,227270170,NVDA,2024-05-10
2024-05-13,90.48,91.0,88.53,90.4,190163660,NVDA,2024-05-13
2024-05-14,89.59,91.65,88.93,91.36,202185010,NVDA,2024-05-14
2024-05-15,92.47,94.86,91.6,94.63,264306290,NVDA,2024-05-15
2024-05-16,94.91,95.82,94.1,94.36,204400900,NVDA,2024-05-16
2024-05-17,94.37,94.74,91.81,92.48,229046700,NVDA,2024-05-17
2024-05-20,93.75,95.2,93.44,94.78,208755210,NVDA,2024-05-20
2024-05-21,93.59,95.4,93.18,95.39,202667940,NVDA,2024-05-21
2024-05-22,95.46,96.02,93.25,94.95,268911750,NVDA,2024-05-22
2024-05-23,102.03,106.32,101.52,103.8,487268090,NVDA,2024-05-23
2024-05-24,104.45,106.48,103.0,106.47,258698390,NVDA,2024-05-24
2024-05-28,110.2,114.94,109.88,113.9,383119990,NVDA,2024-05-28
2024-05-29,113.05,115.49,110.92,114.83,327118450,NVDA,2024-05-29
2024-05-30,114.65,115.82,109.66,110.5,279935410,NVDA,2024-05-30
2024-05-31,112.5,112.72,106.98,109.63,312903700,NVDA,2024-05-31
2024-06-03,113.62,115.0,112.0,115.0,256421090,NVDA,2024-06-03
2024-06-04,115.7,116.6,114.05,116.44,238996210,NVDA,2024-06-04
2024-06-05,118.37,122.45,117.47,122.44,290101330,NVDA,2024-06-05
