symbol,entry_date,exit_date,entry_price,exit_price,shares,direction,breakout_level,atr_at_entry,stop_price,target_price,bars_held,gross_pnl,transaction_costs,net_pnl,return_on_trade,exit_reason,trade_outcome,test_start,test_end,chosen_param_id
XLF,2023-01-17,2023-01-17,36.029998779296875,35.880001068115234,1897,long,36.060001373291016,0.5271432059151786,35.502855573381694,37.08428519112723,1,-284.54565811157227,46.252653942108154,-330.79831205368043,-0.004839847822901483,end_of_data,Timed out,2022-10-17,2023-01-17,0
XLF,2023-06-14,2023-06-20,33.41999816894531,32.997141565595356,2356,long,33.290000915527344,0.42285660334995817,32.997141565595356,34.26571137564523,4,-996.2501574924966,54.85575624291556,-1051.105913735412,-0.013349492990440333,stop_loss,Stop-loss triggered,2023-04-19,2023-07-19,8
XLF,2023-07-05,2023-07-06,33.70000076293945,33.29000064304897,2404,long,33.849998474121094,0.4100001198904855,33.29000064304897,34.52000100272043,2,-985.6402882167222,56.24879267599924,-1041.8890808927215,-0.012860478052222998,stop_loss,Stop-loss triggered,2023-04-19,2023-07-19,8
XLF,2023-07-19,2023-07-19,34.970001220703125,35.119998931884766,2349,long,34.7400016784668,0.4149998256138393,34.555001395089285,35.800000871930806,1,352.3446235656738,56.418282071685795,295.92634149398805,0.0036025080570068688,end_of_data,Successful,2023-04-19,2023-07-19,8
XLF,2024-01-09,2024-01-16,37.790000915527344,37.25750160217285,1835,long,37.95000076293945,0.3549995422363281,37.25750160217285,38.5,5,-977.1362400054932,45.892433423995975,-1023.0286734294891,-0.014752812922768685,stop_loss,Stop-loss triggered,2023-10-18,2024-01-18,5
XLF,2024-07-16,2024-07-18,43.029998779296875,43.948570251464844,2105,long,42.560001373291016,0.4592857360839844,42.57071304321289,43.948570251464844,3,1933.5929489135742,57.667977561950686,1875.9249713516235,0.020710568990083028,profit_target,Successful,2024-04-19,2024-07-19,17
XLF,2024-10-14,2024-10-17,46.59000015258789,47.67857033865793,1810,long,45.880001068115234,0.5442850930350167,46.045715059552876,47.67857033865793,4,1970.3120367867662,52.225222517830986,1918.086814268935,0.022745577774223816,profit_target,Successful,2024-07-22,2024-10-17,17
XLF,2026-01-06,2026-01-08,56.040000915527344,55.45928682599749,1729,long,55.88999938964844,0.5807140895298549,55.45928682599749,57.201429094587056,3,-1004.0546607971208,55.846453701019286,-1059.9011144981403,-0.01093886397329286,stop_loss,Stop-loss triggered,2025-10-22,2026-01-22,0
