symbol,entry_date,exit_date,entry_price,exit_price,shares,direction,breakout_level,atr_at_entry,stop_price,target_price,bars_held,gross_pnl,transaction_costs,net_pnl,return_on_trade,exit_reason,trade_outcome,test_start,test_end,chosen_param_id
XLK,2023-03-31,2023-04-06,74.3499984741211,74.53500366210938,665,long,73.78500366210938,1.502856663295201,72.84714181082589,77.35571180071149,5,123.02845001220703,26.451705284118656,96.57674472808837,0.001953304512999883,timeout,Timed out,2023-01-18,2023-04-18,0
XLK,2023-07-18,2023-07-19,88.91500091552734,89.90499877929688,877,long,89.03500366210938,1.140714372907366,87.77428654261998,91.19642966134208,2,868.2281265258789,40.13502794647217,828.0930985794067,0.010619511377249207,end_of_data,Successful,2023-04-19,2023-07-19,0
XLK,2024-06-12,2024-06-18,111.18000030517578,115.9735723223005,631,long,108.80999755859375,1.5978573390415736,109.58214296613421,115.9735723223005,5,3024.7439428056964,34.97678086558751,2989.7671619401085,0.042616849159863204,profit_target,Successful,2024-04-19,2024-07-19,10
XLK,2024-07-11,2024-07-11,119.0199966430664,117.2378534589495,582,long,118.11499786376953,1.7821431841169084,117.2378534589495,124.36642619541713,1,-1037.2073331560384,33.32041375187465,-1070.527746907913,-0.015454501814964241,stop_loss,Stop-loss triggered,2024-04-19,2024-07-19,10
XLK,2024-10-10,2024-10-16,114.46499633789062,114.69499969482422,596,long,114.44000244140625,1.7228567940848214,112.7421395438058,119.63356672014508,5,137.08200073242188,33.27587152709961,103.80612920532226,0.0015216123994178292,timeout,Timed out,2024-07-22,2024-10-17,18
XLK,2025-06-04,2025-06-10,118.375,120.43499755859375,561,long,117.88500213623047,1.8303582327706474,116.54464176722935,123.86607469831195,5,1155.6586303710938,32.40448172607422,1123.2541486450195,0.016914344744093188,timeout,Timed out,2025-04-23,2025-07-23,10
XLK,2025-06-13,2025-06-20,119.87999725341797,120.2699966430664,592,long,121.21499633789062,1.755713871547154,118.12428338187081,125.14713886805943,5,230.879638671875,34.353759277343755,196.52587939453124,0.002769180834792484,timeout,Timed out,2025-04-23,2025-07-23,10
XLK,2025-06-25,2025-07-01,124.26000213623047,125.48500061035156,599,long,121.87999725341797,1.738570077078683,122.52143205915179,129.4757123674665,5,733.7740859985352,35.90945132904053,697.8646346694946,0.009375900962036795,timeout,Timed out,2025-04-23,2025-07-23,10
XLK,2025-07-07,2025-07-11,127.98500061035156,127.92500305175781,586,long,126.95999908447266,1.7867845807756697,126.19821602957589,133.34535435267858,5,-35.1585693359375,35.852652429199225,-71.01122176513672,-0.000946826258923116,timeout,Timed out,2025-04-23,2025-07-23,10
XLK,2025-07-18,2025-07-22,131.02999877929688,129.43999971662248,658,long,129.61500549316406,1.589999062674386,129.43999971662248,135.79999596732003,3,-1046.2193832397516,40.85785180206299,-1087.0772350418144,-0.012608510095129557,stop_loss,Stop-loss triggered,2025-04-23,2025-07-23,10
XLK,2025-10-09,2025-10-10,145.27999877929688,143.31463950020927,527,long,144.75,1.9653592790876115,143.31463950020927,149.2107173374721,2,-1035.7443400791692,35.687874874659954,-1071.432214953829,-0.013994205835808642,stop_loss,Stop-loss triggered,2025-07-24,2025-10-21,0
